id,track_name,track_artist,track_album_name,track_album_release_date,track_popularity,tempo,loudness,danceability
0,Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,2024-08-16,1.0,0.6775281669503628,0.7981218567804531,0.45670225385527874
1,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,0.90625,0.3471253187681987,0.744848457875295,0.7247924080664293
2,That’s So True,Gracie Abrams,The Secret of Us (Deluxe),2024-10-18,0.78125,0.3693845357675067,0.8784102541279096,0.49584816132858833
3,Taste,Sabrina Carpenter,Short n' Sweet,2024-08-23,0.40625,0.3969310961884988,0.88061328942098,0.6334519572953736
4,APT.,"ROSÉ, Bruno Mars",APT.,2024-10-18,0.9375,0.6217741281806677,0.8715563665494682,0.7603795966785291
5,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",2024-04-05,0.8125,0.4202876863507979,0.8385553429169078,0.6690391459074732
6,Diet Pepsi,Addison Rae,Diet Pepsi,2024-08-09,0.625,0.628271076111558,0.8256931772664561,0.6322657176749703
7,WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,0.78125,0.616000448925385,0.7041034313943656,0.39264531435349936
8,Sailor Song,Gigi Perez,Sailor Song,2024-07-26,0.09375,0.2844503469819121,0.738884685566781,0.4223013048635824
9,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",Timeless,2024-09-27,0.75,0.44062026524008163,0.8491254617472963,0.7508896797153024
10,Guess featuring billie eilish,"Charli xcx, Billie Eilish",Guess featuring Billie Eilish,2024-08-01,0.53125,0.50325782657763,0.8238239351996084,0.7591933570581257
11,Please Please Please,Sabrina Carpenter,Please Please Please,2024-06-06,0.625,0.36017533030308707,0.8360407672793627,0.6322657176749703
12,2 hands,Tate McRae,2 hands,2024-11-14,0.34375,0.3412269380171216,0.8945658462770929,0.5599051008303677
13,A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),2024-04-12,0.5625,0.19769551635771881,0.8610307534825761,0.6951364175563463
14,HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,2023-09-22,0.625,0.5653778767076312,0.8603409141483823,0.7188612099644127
